epoch,best_acc@1,loss,acc@1,acc@5,f1-micro,training_loss,training_acc@1,training_acc@5,training_f1-micro,training_learning-rate
0,0.002,7.367825390625,0.002,0.0094,0.002,7.219470460946124,0.002104971438090953,0.009402309552242059,0.002104971438090953,0.0005
1,0.00528,6.192961796875,0.00528,0.0194,0.00528,6.204357065760361,0.004452824195961631,0.017618237273252384,0.004452824195961631,0.050449999999999995
2,0.08988,4.71808599609375,0.08988,0.24708,0.08988000000000002,5.128321035317629,0.062146479232868694,0.18170792275751257,0.062146479232868694,0.10039999999999999
3,0.19184,3.84412791015625,0.19184,0.42864,0.19184000000000004,4.5035945124707295,0.12673578404736807,0.30540613337609707,0.12673578404736807,0.15034999999999998
4,0.2392,3.561416484375,0.2392,0.48936,0.2392,4.26098655124971,0.15911996001799814,0.3535355579809089,0.15911996001799814,0.20029999999999998
5,0.30228,3.33584408203125,0.30228,0.57008,0.30228,3.9461181877433678,0.20644600794969242,0.42691996904820106,0.20644600794969242,0.25025
6,0.3454,2.90666681640625,0.3454,0.62328,0.3454,3.6113104019800177,0.24590332389313846,0.48246194470090564,0.24590332389313846,0.30019999999999997
7,0.3454,3.27155857421875,0.30492,0.55876,0.30492,4.050181579725258,0.21116506743848953,0.4158735397928347,0.21116506743848953,0.35014999999999996
8,0.43072,2.465859375,0.43072,0.7182,0.43072000000000005,3.221487276837583,0.3098496159828364,0.559343224000411,0.3098496159828364,0.4000999999999999
9,0.47708,2.33210501953125,0.47708,0.74888,0.47708,3.135931035389151,0.3349224414554819,0.5797514825880562,0.3349224414554819,0.45004999999999984
10,0.4764,2.27869849609375,0.4764,0.75356,0.4764,3.0260049584073037,0.34859385728231373,0.5999137459928474,0.34859385728231373,0.5
11,0.4764,2.312837841796875,0.4662,0.74356,0.4662,3.133713133579301,0.32878501733643267,0.5783502442047116,0.32878501733643267,0.49998533098916437
12,0.54696,1.9047140234375,0.54696,0.81404,0.54696,2.7102101552574562,0.4006607617443238,0.6533040422613496,0.4006607617443238,0.499941325678131
13,0.54696,2.029865537109375,0.53252,0.79856,0.53252,2.8543584765015,0.3809126421283877,0.6280801944296104,0.3809126421283877,0.4998679892311181
14,0.54696,2.000881748046875,0.53228,0.79736,0.53228,2.7391687602733152,0.39915520894799694,0.6485351609633669,0.39915520894799694,0.499765330254483
15,0.54696,2.168103955078125,0.49976,0.76468,0.49976,3.0216973154164,0.3570230846238998,0.5972731901060114,0.3570230846238998,0.4996333607957117
16,0.54696,1.91109984375,0.56516,0.82084,0.56516,2.6233259304609056,0.4227505063919824,0.6730988698233973,0.4227505063919824,0.49947209634200546
