epoch,best_acc@1,loss,acc@1,acc@5,f1-micro,training_loss,training_acc@1,training_acc@5,training_f1-micro,training_learning-rate
0,0.0198,27.93461201171875,0.0198,0.0986,0.0198,33.7663317578125,0.02004,0.10008,0.02004,0.0005
1,0.035,3.919912384033203,0.035,0.1366,0.035,3.9350393505859373,0.02812,0.12188,0.02812,0.050449999999999995
2,0.1258,3.385771343994141,0.1258,0.392,0.1258,3.5754741088867186,0.09928,0.3064,0.09928,0.10039999999999999
3,0.1536,3.3264511352539063,0.1536,0.4158,0.1536,3.6462890576171874,0.10664,0.31904,0.10664,0.15034999999999998
4,0.1644,3.22739658203125,0.1644,0.458,0.1644,3.680803564453125,0.1058,0.32796,0.1058,0.20029999999999998
5,0.2238,2.931327426147461,0.2238,0.549,0.22380000000000003,3.245223327636719,0.17028,0.43748,0.17028,0.25025
6,0.2522,2.899837973022461,0.2522,0.5658,0.2522,3.1855951098632813,0.1868,0.45988,0.1868,0.30019999999999997
7,0.2536,2.8101539978027343,0.2536,0.5758,0.2536,3.106722655029297,0.1936,0.47532,0.19360000000000002,0.35014999999999996
8,0.2942,2.667770904541016,0.2942,0.6164,0.2942,2.9657418676757814,0.23072,0.523,0.23072,0.4000999999999999
9,0.2942,3.1708248229980467,0.2192,0.5674,0.2192,3.3346446948242185,0.18148,0.46972,0.18148,0.45004999999999984
10,0.3212,2.519486553955078,0.3212,0.6744,0.3212,2.8931485205078125,0.2508,0.55604,0.2508,0.5
11,0.3212,3.0799546478271482,0.3052,0.6108,0.3052,3.3289943530273436,0.22336,0.49288,0.22336,0.49998533072511686
12,0.3212,2.724861410522461,0.2956,0.6228,0.2956,2.8992883264160154,0.25584,0.55392,0.25584,0.49994132462197205
13,0.3384,2.797540072631836,0.3384,0.644,0.3384,3.020826654052734,0.25736,0.54724,0.25736,0.49986798685487666
14,0.3508,2.5500058502197267,0.3508,0.6988,0.3508,2.8545585314941406,0.28224,0.59964,0.28224,0.49976532603034307
15,0.3508,2.779384451293945,0.3352,0.6736,0.3352,2.8971941833496095,0.26788,0.58464,0.26788,0.49963335419607396
16,0.3786,2.2914938720703124,0.3786,0.7242,0.3786,2.707380544433594,0.29336,0.61012,0.29336,0.49947208683954947
17,0.4094,2.234070425415039,0.4094,0.7296,0.4094,2.6202745532226563,0.32824,0.62572,0.32824,0.49928154288620874
18,0.4148,2.2004470245361327,0.4148,0.75,0.4148,2.586327373046875,0.3224,0.63072,0.3224,0.4990617446972296
19,0.457,1.9885085327148437,0.457,0.7774,0.457,2.3543995056152345,0.36988,0.67468,0.36988,0.498812718066904
20,0.457,2.1118572631835937,0.425,0.762,0.425,2.4637813342285155,0.34448,0.65544,0.34448,0.4985344922196112
21,0.457,2.9442946197509765,0.3266,0.659,0.3266,3.2396270190429686,0.2472,0.54076,0.2472,0.49822709980638796
22,0.457,2.1084700256347655,0.4178,0.7674,0.41779999999999995,2.5387801110839843,0.3354,0.64428,0.3354,0.4978905769010969
23,0.457,2.3366135620117188,0.4144,0.732,0.4144,2.665668024902344,0.32608,0.62352,0.32608,0.497524962996193
24,0.457,2.240621301269531,0.4174,0.7662,0.4174,2.4807637475585937,0.35324,0.66352,0.35324,0.497130300998089
25,0.4736,1.9060431213378906,0.4736,0.7958,0.4736,2.2973332092285155,0.38084,0.69468,0.38083999999999996,0.4967066372221203
26,0.4736,2.305630163574219,0.4272,0.7672,0.4272,2.586581905517578,0.34156,0.665,0.34156,0.4962540213871093
27,0.4764,1.886387158203125,0.4764,0.7978,0.4764,2.3442342504882814,0.3686,0.68344,0.3686,0.4957725066095311
28,0.4902,1.8692474639892578,0.4902,0.8022,0.4902,2.271316008300781,0.39152,0.69192,0.39152,0.4952621493972798
29,0.4902,2.443261120605469,0.391,0.7254,0.391,2.8545748010253904,0.29332,0.60616,0.29332,0.4947230096430372
30,0.4902,2.2051403533935545,0.477,0.7818,0.477,2.575109696044922,0.36448,0.66916,0.3644800000000001,0.49415515061724374
31,0.4902,2.682971228027344,0.4036,0.688,0.4036,2.912297138671875,0.30772,0.58848,0.30772,0.49355863896067387
32,0.498,1.783404608154297,0.498,0.811,0.498,2.247732121582031,0.39768,0.70188,0.39768,0.4929335446766152
33,0.498,2.0400436279296876,0.47,0.7884,0.47,2.40612603515625,0.37044,0.68612,0.37044000000000005,0.49227994112265366
34,0.498,1.8389062210083007,0.4868,0.8148,0.4868,2.2463411596679688,0.39388,0.70908,0.39388000000000006,0.49159790500206413
35,0.5166,1.7650447929382325,0.5166,0.8168,0.5166,2.1813947839355468,0.41236,0.71672,0.41236,0.4908875163548094
36,0.5166,1.7342666793823243,0.5078,0.8334,0.5078,2.291821690673828,0.39292,0.69816,0.39292,0.4901488585481469
37,0.5166,1.7597655090332032,0.4994,0.8226,0.4994,2.1590079638671873,0.41396,0.72336,0.41396,0.48938201826684524
38,0.521,1.725685093688965,0.521,0.8232,0.521,2.1653819860839842,0.41476,0.71512,0.4147600000000001,0.48858708550301155
39,0.528,1.660310855102539,0.528,0.8308,0.528,2.0930951477050783,0.42984,0.72792,0.42984,0.48776415354553015
40,0.528,1.7309254486083985,0.5214,0.8194,0.5214,2.1370070837402344,0.42396,0.7234,0.42396,0.48691331896911494
41,0.528,1.8295227157592773,0.505,0.8204,0.505,2.208943795166016,0.40772,0.714,0.40772,0.4860346816229758
42,0.528,2.0214105377197265,0.459,0.7868,0.459,2.3533599060058594,0.37016,0.68872,0.37016,0.48512834461910115
43,0.528,1.8385850524902343,0.5198,0.8176,0.5198,2.2181356091308593,0.41304,0.7176,0.41304,0.48419441432015675
44,0.528,1.8625065521240234,0.4862,0.8078,0.4862,2.203964559326172,0.404,0.7154,0.404,0.48323300032700406
45,0.528,1.763999417114258,0.5128,0.8274,0.5128,2.1589707849121096,0.41852,0.72204,0.41852,0.4822442154658379
46,0.528,1.871060220336914,0.4966,0.8168,0.4966,2.256023231201172,0.40372,0.71132,0.4037200000000001,0.4812281757749457
47,0.528,2.418411183166504,0.3902,0.7152,0.39019999999999994,2.638565936279297,0.3216,0.62564,0.3216,0.48018500049109014
48,0.528,2.0314334869384765,0.4732,0.7994,0.4732,2.40579234375,0.38288,0.68916,0.38288,0.4791148120355159
49,0.528,2.0247755157470704,0.4732,0.7924,0.4732,2.3401116052246094,0.39124,0.69556,0.39124,0.47801773599958336
50,0.528,2.154992874145508,0.4216,0.7656,0.4216,2.4662062939453127,0.34508,0.66288,0.34508,0.4768939011300294
51,0.528,1.6673725723266601,0.5176,0.8392,0.5176,2.0932147985839844,0.42432,0.73268,0.42432,0.47574343931385876
52,0.5476,1.5875028442382813,0.5476,0.8542,0.5476,2.02261380859375,0.44936,0.74964,0.44936,0.4745664855628667
53,0.5476,1.8872789184570313,0.4994,0.797,0.4994,2.355388903808594,0.3916,0.676,0.3916,0.4733631779977939
54,0.5476,1.868420295715332,0.5102,0.8042,0.5102,2.215754599609375,0.41196,0.713,0.41196,0.4721336578321186
55,0.5476,1.7316362197875976,0.5344,0.8328,0.5344,2.1512340283203124,0.42284,0.72532,0.42284,0.4708780693554835
56,0.5476,1.695210940551758,0.5142,0.8286,0.5142,2.132197713623047,0.41844,0.71972,0.41844,0.46959655991676336
57,0.5476,1.9248072998046875,0.4824,0.8148,0.4824,2.2928976513671877,0.39112,0.70664,0.39112,0.4682892799067727
58,0.5476,1.6393705375671386,0.5422,0.8408,0.5422,2.06828640625,0.44152,0.7436,0.44152,0.46695638274061696
59,0.5476,2.3016747680664063,0.4372,0.7434,0.4372,2.5308665087890625,0.36492,0.65976,0.36492,0.4655980248396884
60,0.5476,1.7918876770019532,0.5086,0.8226,0.5086,2.2463737365722656,0.40228,0.70804,0.40228,0.46421436561330914
61,0.5568,1.5779968460083007,0.5568,0.8512,0.5568,2.0526957202148437,0.43904,0.73856,0.43904,0.46280556744002443
62,0.5568,1.653572250366211,0.5474,0.846,0.5474,2.0863277282714843,0.43768,0.73648,0.43768,0.4613717956485461
63,0.5568,1.840041079711914,0.4902,0.813,0.4902,2.2863234252929687,0.3892,0.69764,0.3892,0.459913218498351
64,0.5568,1.6392509689331054,0.5534,0.8552,0.5534,2.0602504333496094,0.45044,0.74428,0.45044,0.4584300071599345
65,0.5568,2.1682822387695313,0.4726,0.7576,0.4726,2.412622678222656,0.38356,0.66572,0.38356,0.45692233569472357
66,0.5568,1.9468145324707031,0.483,0.8034,0.483,2.333850711669922,0.38564,0.69084,0.38564,0.45539038103464924
67,0.5568,1.6270086318969728,0.5528,0.8484,0.5528,2.0570700122070313,0.44512,0.73972,0.44512,0.45383432296138326
68,0.5568,2.109551596069336,0.4678,0.784,0.4678,2.366648702392578,0.38308,0.693,0.38308,0.4522543440852397
69,0.5568,1.9319008331298828,0.4696,0.781,0.4696,2.24880046875,0.39688,0.69704,0.39688000000000007,0.4506506298237449
70,0.5568,1.9549424407958984,0.4878,0.7966,0.4878,2.2984162683105467,0.39668,0.69944,0.39668,0.4490233683798781
71,0.5568,1.7823583801269531,0.512,0.824,0.512,2.1331688610839845,0.43048,0.72044,0.43048,0.44737275071998456
72,0.5568,1.993361166381836,0.4902,0.7858,0.4902,2.357841125488281,0.38988,0.6882,0.38988,0.44569897055136504
73,0.5568,1.6326137741088866,0.5476,0.8422,0.5476,2.0222366674804686,0.4512,0.74692,0.4512,0.44400222429954367
74,0.5568,1.7617634307861327,0.5292,0.8294,0.5292,2.1413397692871095,0.4368,0.73004,0.4368000000000001,0.44228271108521594
75,0.5568,1.97468740234375,0.4896,0.7928,0.4896,2.3135657861328127,0.40216,0.69728,0.40216,0.44054063270088156
76,0.5584,1.641058660888672,0.5584,0.8336,0.5584,2.179203720703125,0.43876,0.71876,0.43876000000000004,0.4387761935871629
77,0.5584,1.9072502075195312,0.4878,0.7972,0.4878,2.3063150756835937,0.39136,0.69692,0.39136,0.43698960080881305
78,0.5748,1.522288201904297,0.5748,0.8562,0.5748,1.9896511987304688,0.46024,0.75284,0.46024,0.435181064030416
79,0.5748,1.7641505187988282,0.5116,0.8144,0.5116,2.16531232421875,0.40944,0.71772,0.40944,0.4333507954917812
80,0.5748,1.7562482849121093,0.5118,0.8224,0.5118,2.1809365173339845,0.4134,0.71796,0.41339999999999993,0.43149900998303675
81,0.5748,1.8631367980957032,0.5038,0.8148,0.5038,2.2940870263671873,0.40324,0.70344,0.40324,0.42962592481942247
82,0.5748,1.5763239517211913,0.5538,0.8578,0.5538,1.99149927734375,0.45352,0.76148,0.45352,0.42773175981578715
83,0.5748,1.72761650390625,0.5234,0.8308,0.5234,2.3036993420410155,0.40552,0.69808,0.40552,0.4258167372607922
84,0.5748,1.612054867553711,0.5562,0.8508,0.5562,2.0138109594726563,0.46084,0.74812,0.46083999999999997,0.42388108189082535
85,0.5748,2.0810627838134765,0.451,0.776,0.451,2.4751101330566407,0.36932,0.67168,0.36932000000000004,0.42192502086362643
86,0.5936,1.4133277557373047,0.5936,0.874,0.5936,1.8725807836914063,0.48916,0.76936,0.48916,0.41994878373162975
87,0.6068,1.3891379638671875,0.6068,0.8784,0.6068,1.8611552600097656,0.48868,0.77472,0.48868,0.4179526024150249
88,0.6068,1.5660184005737305,0.5668,0.861,0.5668,2.001461112060547,0.45864,0.75704,0.45864,0.4159367111745401
89,0.6068,1.6717933197021484,0.5354,0.8378,0.5354,2.127395369873047,0.43504,0.72032,0.4350399999999999,0.4139013465839504
90,0.6068,1.6321028686523438,0.5466,0.8424,0.5466,2.2700041271972657,0.42388,0.71976,0.42388,0.41184674750231465
91,0.6068,1.731030712890625,0.5272,0.8246,0.5272,2.0947445959472657,0.43948,0.74072,0.43948,0.4097731550459449
92,0.6068,1.6063707641601563,0.5562,0.864,0.5562,2.0072587341308594,0.45688,0.75876,0.45688,0.4076808125601098
93,0.6068,1.4699616821289063,0.5796,0.872,0.5796,1.9367708728027344,0.46672,0.76256,0.46672,0.4055699655904768
94,0.6068,1.5475880889892577,0.5676,0.8554,0.5676,1.9611729357910157,0.4702,0.75696,0.4702,0.40344086185429706
95,0.6068,1.7121807250976562,0.5352,0.836,0.5352,2.051348363037109,0.44,0.73992,0.44,0.40129375121133387
96,0.6068,1.7273074737548828,0.531,0.83,0.531,2.1046849365234377,0.43256,0.73676,0.43256,0.399128885634541
97,0.6068,1.6764986511230469,0.552,0.8342,0.552,2.1056873583984377,0.44236,0.72928,0.44236,0.3969465191804924
98,0.6068,1.5750683502197265,0.5626,0.8598,0.5626,1.928185830078125,0.47048,0.76744,0.47048,0.39474690795956746
99,0.6068,1.5305577224731446,0.5696,0.86,0.5696,2.039907255859375,0.4516,0.74116,0.4516,0.3925303101058957
100,0.6068,1.7108650787353517,0.5322,0.8216,0.5322,2.0280919763183594,0.44932,0.74284,0.44932,0.3902969857470631
101,0.6068,2.2050029510498046,0.4772,0.7984,0.4772,2.334187724609375,0.41072,0.723,0.41072,0.3880471969735852
102,0.6068,1.9280894317626953,0.4894,0.8074,0.4894,2.2737620056152346,0.40316,0.70904,0.40316,0.3857812078081497
103,0.6068,2.065301509094238,0.4756,0.7816,0.4756,2.381431936035156,0.39264,0.6918,0.39264,0.3834992841746319
104,0.6068,1.5631674774169921,0.5686,0.8462,0.5686,1.9905138708496093,0.46164,0.74748,0.46163999999999994,0.3812016938668878
105,0.6068,1.6303389129638672,0.5542,0.8384,0.5542,2.0223395935058592,0.45152,0.74588,0.45152,0.378888706517327
106,0.6068,1.4357120880126952,0.591,0.8834,0.591,1.8656069458007813,0.48648,0.7796,0.48648,0.3765605935652703
107,0.6068,1.5926523818969727,0.5726,0.8528,0.5726,1.9618595190429688,0.47244,0.75496,0.47244,0.3742176282250949
108,0.6068,1.6253960151672364,0.5346,0.848,0.5346,1.9990317041015624,0.45576,0.75356,0.45576,0.37186008545417165
109,0.6068,1.56545548248291,0.5808,0.8584,0.5808,1.9241303051757812,0.48884,0.7688,0.48884,0.3694882419205975
110,0.6068,1.5204483963012696,0.5818,0.8552,0.5818,1.919474483642578,0.48076,0.76168,0.48076,0.36710237597072737
111,0.6068,1.753649462890625,0.5278,0.82,0.5278,2.172048544921875,0.42512,0.71384,0.42512,0.3647027675965089
112,0.6068,1.532415153503418,0.5784,0.8562,0.5784,1.9294196691894532,0.48068,0.7686,0.48068,0.362289698402624
113,0.6068,1.6167719116210937,0.558,0.862,0.558,2.034454899902344,0.45828,0.75904,0.45828,0.3598634515734417
114,0.6068,1.5489787353515625,0.5842,0.862,0.5842,1.9440976525878906,0.47744,0.7598,0.47744,0.35742431183978474
115,0.6068,1.5833686676025391,0.5522,0.8552,0.5522,2.023842188720703,0.45464,0.7522,0.45464,0.3549725654455156
116,0.6068,1.5268286163330078,0.5738,0.8718,0.5738,1.8946935876464843,0.4842,0.77272,0.4842,0.35250850011394397
117,0.6068,1.581595556640625,0.566,0.8522,0.566,2.0090676013183595,0.46184,0.74636,0.46184,0.3500324050140617
118,0.6068,1.6364948532104493,0.5586,0.8648,0.5586,2.0219095837402343,0.46816,0.77392,0.46816,0.3475445707266072
119,0.6068,1.4609467346191407,0.5812,0.865,0.5812,1.8689295178222656,0.48828,0.77248,0.48828,0.3450452892099646
120,0.6068,1.5659470672607423,0.5766,0.8614,0.5766,1.9308881970214844,0.4806,0.77084,0.4806,0.3425348537659011
121,0.6068,1.790493669128418,0.5152,0.823,0.5152,2.1351594616699217,0.423,0.73492,0.42299999999999993,0.34001355900514685
122,0.6068,1.553078756713867,0.5574,0.8608,0.5574,1.9830146533203126,0.45536,0.75476,0.45536,0.33748170081282075
123,0.6068,1.487681803894043,0.5844,0.8648,0.5844,1.9155432580566407,0.4862,0.7624,0.4862,0.3349395763137074
124,0.6068,1.5940921012878417,0.5714,0.8616,0.5714,1.9057528137207032,0.48312,0.77348,0.48312,0.3323874838373881
